label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
tables_loading,"Betöltés, kérem várjon...","Lade, bitte warten...","Laden, even geduld...",Por favor espere...,"Loading, please wait...","Chargement en cours, patientez, s?il vous pla?t ...",正在努力地加载数据中，请稍候……,"Пожалуйста, подождите, идёт загрузка...","Loading, please wait...","Loading, please wait...","Loading, please wait...","Carregando, aguarde...",Molimo pričekajte ...,"Lade, bitte warten..."
tables_rows_per_page,{0} rekord per oldal,{0} Einträge pro Seite,{0} records per pagina,{0} resultados por página,{0} rows per page,{0} lignes par page,每页显示 {0} 条记录,{0} записей на страницу,{0} rows per page,{0} rows per page,{0} rows per page,{0}  registros por página,{0} broj zapisa po stranici,{0} Einträge pro Seite
tables_page_from_to,Megjelenítve  {0}  {1} / {2} összesen,Zeige {0} bis {1} von {2} Zeile(n),Toon {0}  tot {1} van {2} record(s),Mostrando desde {0} hasta {1} - En total {2} resultados,Showing {0} to {1} of {2} rows,Affichage des lignes {0} à {1} sur {2} lignes au total,显示第 {0} 到第 {1} 条记录，总共 {2} 条记录,Записи с {0} по {1} из {2},Showing {0} to {1} of {2} rows,Showing {0} to {1} of {2} rows,Showing {0} to {1} of {2} rows,Exibindo {0} até {1} de {2} linhas,Prikazujem {0}. - {1} od ukupnog broja zapisa {2},Zeige {0} bis {1} von {2} Zeile(n)
tables_hide_show_pagination,Lapozó elrejtése/megjelenítése,Hide/Show pagination,Toon %s record(s),Ocultar/Mostrar paginación,Hide/Show pagination,Hide/Show pagination,隐藏/显示分页,Hide/Show pagination,Hide/Show pagination,Hide/Show pagination,Hide/Show pagination,Ocultar/Exibir paginação,Prikaži/sakrij stranice,Hide/Show pagination
tables_refresh,Refresh,Refresh,Vernieuwen,Refrescar,Refresh,Rafra?chir,刷新,Обновить,Refresh,Refresh,Refresh,Recarregar,Osvježi,Refresh
tables_toggle,Toggle,Umschalten,Omschakelen,Ocultar/Mostrar,Toggle,Alterner,切换,Переключить,Toggle,Toggle,Toggle,Ocultar/Exibir paginação,Promijeni prikaz,Umschalten
tables_columns,Columns,Spalten,Kolommen,Columnas,Columns,Colonnes,列,Колонки,Columns,Columns,Columns,Colunas,Kolone,Spalten
tables_all,All,All,Alle,Todos,All,Tous,All,All,All,All,All,Tudo,Sve,All
