label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
error_no_permission_module,Önnek nincs hozzáférése az alábbi modulhoz ,Sie haben nicht die Zugangsrechte für das gewählte Modul,U hebt geen toegang tot de module genaamd ,No tienes permiso para accesar el módulo llamado,You do not have permission to access the module named,Vous n'avez pas d'autorisation d'accès pour le module,您沒有權限使用模組：,У вас нет разрешения на доступ к модуля называется,You do not have permission to access the module named,Bu modüle erişim yetkiniz yok,Anda tidak memiliki izin untuk mengakses modul ini,Você não tem permissão para acessar o módulo chamado,Nemate dozvolu za pristup modulu,Sie haben nicht die Zugangsrechte für das gewählte Modul
error_unknown,ismeretlen,Unbekannter Fehler,onbekend,desconocido,unknown,inconnu,未知,неизвестный,unknown,bilinmeyen,tidak dikenal,Desconhecido,ismeretlen,Unbekannter Fehler
